RATING,TITLE,VERIFIED,TEXT,DATE
5.0 out of 5 stars,Yep they are the only really good gaming option for younger kids and adults alike.,Verified Purchase,Yes they are awesome. I think you knew that already though. Slightly disappointing to see the price being hiked so much on these right now during the pandemic as I guess they are in high demand. They are now double what I paid in early March and thats for a used one and mine was brand new direct from Amazon. On a side note Amazon did well to deliver this to me well before the expected date originally stated.,Reviewed in the United Kingdom on 4 April 2020
1.0 out of 5 stars,"Breaking all the time, not repaired , order status not updated on the website",Verified Purchase,"Our console doesn't charge anymore. We had few Nintendo switch that were replaced or /and repair. On November 2019 we bought another console THAT DOESNT CHARGE ANYMORE. I contacted the customer service and requested a repair however after a week or so, the console came back unrepaired because ""was not eligible"" The console should have an one year warranty from Nintendo I am not sure why is not eligible.",Reviewed in the United Kingdom on 10 March 2020
5.0 out of 5 stars,Highly recommend,Verified Purchase,"Been trying to get this ever since it sold out, it’s a brilliant little console and I love the fact you can ‘switch’ between hand held, table top and TV modes - which the reason I didn’t want to get the switch lite as I liked the option of playing all of the games on the TV as well as handheld which the lite doesn’t include. I would really recommend for all age groups! Just make sure you order a game to play as well as the free games aren’t the greatest as I found out while waiting for animal crossing to arrive 😅 My only criticism was the fact that amazon hiked up the price due to popular demand which was a shame.",Reviewed in the United Kingdom on 4 June 2020
5.0 out of 5 stars,Best buy for most!,Verified Purchase,So the reason I brought this was for family fun days! Recently done my games room and we needed one for the fun days but this is one of our best consoles!Very fun and looks good on the shelf!Perfect amount of games for this from all types!Very fast delivery and from the prices I've been researching this was by far the best price with the game including!If you are looking for a console and a hard decision for you well this is perfect in my eyes !No regrets on buying this!,Reviewed in the United Kingdom on 11 October 2020
5.0 out of 5 stars,Nintendo Switch,Verified Purchase,"C'mon, are you really looking here for a review of a Nintendo Switch, the internet is full of them, written by professionals. Nothing you read in this section is going to come close to these reviews. You either want one or you don't. By partner was over the moon to add this to his collection (Xbox one X, PS4 Pro, PS3, PS2, PS, Xbox 360, DreamCast, Nintendo DS, Gameboy, GameCube (no wait that one is mine)) - there was never any doubt that this would be added to our collection.Oh, the games are expensive though, even second hand.",Reviewed in the United Kingdom on 12 January 2020
5.0 out of 5 stars,Happy to finally own one!,Verified Purchase,"So happy I was finally able to grab my own Nintendo Switch after years of waiting. Honestly I have spent more time playing the console hooked up to my TV. But cant wait to take it with me when I'm next on a long journey. The controllers are comfy and easy to use. Battery life for them is pretty decent, always charge them up after each use.The selection of games is great aswell. I got the Switch purely for Fire Emblem Three Houses and so happy to see more amazing games getting released also.Lots of fun and no regrets buying it!",Reviewed in the United Kingdom on 13 December 2019
5.0 out of 5 stars,Great Console,Verified Purchase,"Well this has been an absolute lifesaver during the pandemic. I haven't left my house in 7 weeks and I was lucky enough to get hold a switch in early April, after trying to get one all through March for my birthday. I'm so glad I did as during this time, being able to play Animal Crossing has been something to look forward to during these uncertain times. Pandemic aside, the console itself is really good. I've hooked it up to the TV a couple of times but I mainly play it handheld. I mainly play Playstation 4 and haven't had a handheld console since the Nintendo 3DS, but so far it's been great. The battery life is decent, definitely better than what I have had before and it charges pretty quickly either docked or with the charger. It's comfortable to hold despite the size of it but I'd recommend taking breaks if you're playing for long periods as it can be straining on your hands. But other than that it's a great console and there a great range of games for it.",Reviewed in the United Kingdom on 18 May 2020
5.0 out of 5 stars,Can't go wrong.,Verified Purchase,"Son wanted Nintendo Switch for Xmas, so son received Nintendo Switch. Kids seem to know what they want these days. We haven't seen much of him since then, but I guess that's the price one has to pay. Anyway, if this is what your kids want, this will make them happy. Beware of future pricy (additional) game requests, and of course an online subscription (as one does these days). It is what it is.",Reviewed in the United Kingdom on 31 December 2019
5.0 out of 5 stars,Best console on the market,Verified Purchase,Wish the price would drop but you should definitely buy new as the price difference is negligible and you want to avoid stick drift. It's the newer model with the more efficient CPU and the battery life is vastly improved. Couldn't praise this console enough it's my favourite of all time and the graphical downsides are well worth it for the portability and exclusives.,Reviewed in the United Kingdom on 14 January 2020
5.0 out of 5 stars,Love my Switch!,Verified Purchase,"I mostly just play Animal Crossing and Mario Kart but my boyfriend plays other games on it like Zelda. We love the Switch! I use the dock which is right next to my WiFi router and enjoy playing on the TV. My other half prefers the handheld, both provide a nice playing experience. Sometimes the controllers need charging more than I'd like to charge them but that's all.",Reviewed in the United Kingdom on 26 February 2021
5.0 out of 5 stars,BEST CONSOLE EVER,Verified Purchase,"The Nintendo switch is so good that i bought it a second time ! Battery life on this is great, the joy-cons are vibrant and comfortable to use. software and games on the console are great too. The overall quality of the system is solid. I definitely recommend this for anybody who wants a portable console that wants to have a good time alone or with others.",Reviewed in the United Kingdom on 6 December 2020
5.0 out of 5 stars,Nintendo switch,Verified Purchase,"Fantastic very happy with this console, so much fun 😉 love Mario Kart, even better with the wheels you can buy like I did on amazon, adds to the effect. Grateful to Amazon for me to be able to buy this monthly instalments interest free, was my daughter’s ultimate Xmas pressie Which she didn’t think she was going to get from Santa. Happy customer and amazon are great 👍",Reviewed in the United Kingdom on 15 January 2020
1.0 out of 5 stars,Faulty docking station,Verified Purchase,Ordered the switch as a Christmas present for my little girl. She opened on Christmas Day very excited but the docking station was faulty. We bought a new hdmi cable thinking it was that and tried to connect it to different tv’s but it still wouldn’t work. As the switch work when hand held I let her play on it and download her games with was downloads. When I contacted to ask if the docking station could be replaced I was told o could return the whole gaming system for a full refund which I didn’t want to do as my daughter had already downloaded her games so she would be losing games if we returned the whole system. The did offer £10 money back which wouldn’t replace a docking station. After a while this increased to £25 however a docking station is £80 to buy.,Reviewed in the United Kingdom on 27 December 2020
5.0 out of 5 stars,Fun Gaming Console!,Verified Purchase,"Nintendo Switch (Neon Red/Neon Blue), is a fun gaming console!  A gift for my son who absolutely loves it!  This Console is easy to use & lightweight so is  comfortable to hold.  The price is what you would expect to pay for a modern console.  Service was straight forward & quick.  Would recommend buying from this seller.",Reviewed in the United Kingdom on 25 January 2021
2.0 out of 5 stars,Disappointing,Verified Purchase,"The concept of the Switch is great, but unfortunately ours suffered with a faulty red joy-con after just 6 weeks.  We have twice sent it back to be repaired and both times it has been returned in the same faulty condition.  We bought it as a gift for our four children, and they have been able to play on it for just 6 weeks in the last 7 months.  I've since learned that issues with the joy-cons are fairly common.  Shame really, as Nintendo games have always been great fun and are super playable for kids.",Reviewed in the United Kingdom on 3 July 2020
1.0 out of 5 stars,Faulty,Verified Purchase,Item is faulty and won't work in the tablet mode. Just rapidly clicks and selects things. Looks like it'll need to be returned. Kids not happy.,Reviewed in the United Kingdom on 5 January 2020
4.0 out of 5 stars,Great for bored children,Verified Purchase,My son has a DS but had saved his pocket money as he really wanted a switch as well so I helped him buy it. Its a great game machine (I am not a gamer) for my son and has kept him occupied over lockdown. The only thing I will say which is negative is the cost of the actual games they are very expensive and you are looking at around £50 for some of the newer games and more when you have new platforms added to the games you have. Saying all that my son loves it and it is better constructed than the DS console as it seems more substantial in build.,Reviewed in the United Kingdom on 26 October 2020
5.0 out of 5 stars,Worth every penny.,Verified Purchase,The faces on our grandchildren when they opened this present was worth every penny we paid for it. The whole family now get some quality game play time together. The Switch is a great unobtrusive piece of equipment. It's easy to set up straight out of the box. Pity the games are so expensive.,Reviewed in the United Kingdom on 21 February 2021
5.0 out of 5 stars,My kids love it and it brings the family together,Verified Purchase,I have nothing to dislike about this product. My family likes the fact that it can be configured in three different forms. The console configuration is best as all the family can watch the game play. Our favourite games are Animal Crossing and Pokemon Lets Go Eevee. I think Animal Crossing provides the best opportunity for children to learn life skills and practice their reading.,Reviewed in the United Kingdom on 11 May 2020
5.0 out of 5 stars,Superb,TOP 1000 REVIEWER|Verified Purchase,Bought for son for Christmas. He absolutely loves it. He got several games with it and he downloaded games online as well. Graphics are amazing and the games are great fun. We were all playing Mario racing on Christmas day..it got really competitive 🤣🤣,Reviewed in the United Kingdom on 19 January 2020
5.0 out of 5 stars,Great condition,Verified Purchase,"arrived in excellent condition, have not experienced drift on joy-cons, screen did have a little carboard-y dust on it but this wiped off fine leaving only a little smudge that i'm sure would wipe off but i don't have the right cloth to do it without worrying about scratching the screen",Reviewed in the United Kingdom on 3 November 2020
5.0 out of 5 stars,Lots of fun,Verified Purchase,"Brilliant device, my daughter of 9 years loves it! The instructions are limited though...be careful when fitting joycon wrist straps attachments, can easily be put on upside down! Very easy to transition between the TV and device screen! Screen protector is advisable!",Reviewed in the United Kingdom on 25 January 2020
5.0 out of 5 stars,Nintendo do it again. Another classic console.,Verified Purchase,I love it. Gives you both options if on the move play and connecting to your TV. I have tried the Switch lite but I think this is better value in long run as it gives you too play style options. So for extra money I’d go for this. I was on the fence about this product but if you love Zelda games you have to get this for BOTW alone.,Reviewed in the United Kingdom on 2 May 2020
5.0 out of 5 stars,"Fun, versatile, nice little machine.",Verified Purchase,"Had to wait a little while but demand is high and for the bundle price with Link awakening, which was well worth the save I cannot complain. It arrived at the earliest estimated date which was nice. Well packaged and info readily at hand.Some have made comment on the controls not being very sturdy but with the saving on the bundle I invested in the controller. Well worth it. The machine didnt have a scratch on it and the base is performing fine. No lose connections at all as some other have stated. 10/10",Reviewed in the United Kingdom on 17 February 2020
2.0 out of 5 stars,Controller crashed in less than a month,Verified Purchase,"Word ont he street is Joy Con controllers are LOUSY and fail... and that was exactly what we experienced too... Less than a month into ownership with very careful use, the left controller just stopped communicating with the main console. USeless waste of dollar. REturned ... Amazons service was / is great, they refunded straight away... bu Switch to somethig reliable. POOR POOR POOR ...",Reviewed in the United Kingdom on 1 February 2021
4.0 out of 5 stars,Good,Verified Purchase,"Lots of options for games and the different ways of using it is good, although I only use it through the tv. Still prefer the wii controllers though, certain games are irritating to play on the switch due to them not being particularly well suited to how the controllers are designed to work",Reviewed in the United Kingdom on 9 May 2020
5.0 out of 5 stars,Buy a SD card if you're a hardcore gamer,Verified Purchase,Pretty handy well package I'm enjoying it,Reviewed in the United Kingdom on 30 November 2019
1.0 out of 5 stars,Scratches!,Verified Purchase,"The switch unit was great. Great fun, and mobile too. But, the unit I received had scratch marks all over the docking unit (the switch unit was good). Avoid the trouble of return during lockdown, re-order etc...decided to live with it.",Reviewed in the United Kingdom on 27 January 2021
5.0 out of 5 stars,Great product.,Verified Purchase,"Not much to say as expected no damage to the box and the product has given me hours peace from my daughter, and let’s face it that is priceless.Had a go myself and as a Console user was very impressed with the graphics on a handheld. There was no loss of quality when put on the tv, although that will depend on age and quality of the tv.",Reviewed in the United Kingdom on 15 January 2020
5.0 out of 5 stars,"Excellent product, excellent seller. Highly recommended",Verified Purchase,"Seller has excellent, informative, fast communication with buyer.  Super fast service at no extra cost. Item was even better than expected few added extras in the box. Highly recommend this seller... reliable, trustworthy (delivered even sooner than promised, quality product.  Very happy with my purchase",Reviewed in the United Kingdom on 31 May 2020
5.0 out of 5 stars,A whole lot of fun,Verified Purchase,"The Nintendo switch is a fantastic games console for a family or an individual. The setup process is really easy, the joycons work great and the battery life issues have been improved significantly.The only downsides to the switch are the limited amount of games available and sometimes the docking can be a little finicky. Otherwise the docking works great, games play amazingly and the experience is very smooth.",Reviewed in the United Kingdom on 4 December 2019
5.0 out of 5 stars,It’s a awesome console,Verified Purchase,Great product equal to carrying a PS4 and tv in your bag.Great graphics.I remember in 1979 we had the first table top space invaders slot machine never dreamed in the future you would have this switch console only took 40 years amazing progress can’t imagine the work expertise put into this.,Reviewed in the United Kingdom on 6 July 2020
4.0 out of 5 stars,Portable ps3/360 - a complement and not a replacement for the ps4,Verified Purchase,"First off, this isn't a next gen device as it has underwhelming portable performance, and significantly underwhelming docked performance. It is too expensive for what it is.However, if you look at it from the perspective of it being a portable ps3 or 360 then this is the ps vita success story everyone wished for!",Reviewed in the United Kingdom on 8 December 2019
5.0 out of 5 stars,Great product,Verified Purchase,Great product my son loved it  as it was early xmas present .It was delivered quickly and it was easy to set up .I can highly recommend this item .It also easy to buy games for as you just buy the codes on here and you have instant access to your game no messing about very happy.,Reviewed in the United Kingdom on 5 November 2020
5.0 out of 5 stars,A very good game console for the whole family,Verified Purchase,Fast deliver and arrived without any problems.The device is portable and can be connected to the tv. It is a very good game console for the whole family and I can recommend it without any reservations.I have also purchased a £12 Amazon’s insurance covering the device for 2 years in case of accidental damage or breakdown which I recommend for peace of mind specially if the console is used by a young child.,Reviewed in the United Kingdom on 3 January 2020
5.0 out of 5 stars,Best one for children/ adult.,Verified Purchase,"Switch definitely is the best hand game machine. Children love it .we already have one , bought this as a gift for mother children. She was very excited and happy. This would be no. 1 for children’s gift if you can. High recommend .",Reviewed in the United Kingdom on 22 September 2020
5.0 out of 5 stars,very well packaged - brand new.,Verified Purchase,"I got this Nintendo Switch from amazon as the seller, so directly from amazon as a new product. I had my doubts at first because its such a fast selling product but I was so happy with my product. Well packaged and brand new. I enjoyed setting up the system as well.",Reviewed in the United Kingdom on 13 July 2020
4.0 out of 5 stars,More Care Needed!,Verified Purchase,"Great product bought as a gift.The inner box arrrived with a fair bit of damage obviously noticeable when items are despatched, more care needs taking when sending these items out as presents.I kept this after checking for damage to the the console, only because it was nearing Christmas and couldn't risk waiting for a return then re-ordering.",Reviewed in the United Kingdom on 28 December 2019
1.0 out of 5 stars,I regret buying this!,Verified Purchase,"I wish we had paid the extra and bought an x-box!, some games work ok but if you want to do anything multi player and online (especially Minecraft!) then steer away from the Switch, it is flaky as can be, my son gets constant problems with trying to connect to realms or joining other friends, my other son can play quite happily on his Android tablet and Minecraft on my PC works fine but the Switch fails to connect all the time",Reviewed in the United Kingdom on 6 April 2021
5.0 out of 5 stars,Well packed arrived very quick and work perfectly,Verified Purchase,"Arrived well packed , the Nintendo absolutely working great ,it was a birthday present for my 10 years old  she is very happy playing with it and impressing so easy to install that she didn't even need my help to do it 🤩, overall is great seller",Reviewed in the United Kingdom on 26 February 2021
1.0 out of 5 stars,Faulty switch,Verified Purchase,Work for couple weeks then wouldn’t power up and Amazon help was no use at all no refund or replacement it doesn’t give u an option for a replacement a lot of money down drain but not give it up to get refund or a replacement,Reviewed in the United Kingdom on 8 May 2021
5.0 out of 5 stars,Great console for all the family,Verified Purchase,A great console for all the family. Like the way you can carry on playing if someone wants to watch the telly. My youngest uses it who's 4 and my eldest who's 20 so covers everyone! Loads of fun games for multiple players and also great games for single players. Would highly recommend,Reviewed in the United Kingdom on 17 January 2020
5.0 out of 5 stars,Absolutely AWESOME!!!,Verified Purchase,"Bought for my six year old son for Xmas and it has been played with every day since then. The graphics are amazing and the range of games available on Nintendo e-shop is brilliant, to suit all tastes. This has got to be my most favourite console to date. Don't hesitate to buy one.",Reviewed in the United Kingdom on 5 January 2020
5.0 out of 5 stars,Get a Switch!,Verified Purchase,"If you're tempted at all to get a Switch then please do yourself a favour and take the plunge. It has a fantastic array of console exclusive games, a decent library of the best third-party titles from the last couple of generations, and a superbly curated store full of indie madness. All playable on your TV or in your hands. You won't regret it.",Reviewed in the United Kingdom on 22 March 2020
1.0 out of 5 stars,warranty 1 year !,Verified Purchase,"Hi  I  have paid 1 year warranty for this product now  charger is not working could you help me to replacement or assist me please to claim! thanks,I bought this product in oct 2019 .",Reviewed in the United Kingdom on 7 May 2020
5.0 out of 5 stars,Great fun!:),Verified Purchase,"Love the switch! Fab, brings old memories of playing my DS back, plays great, comfy in the hands and easy to set up and use:) only downsides to it is that the batter runs out fairly quickly and most games for it are on the more pricey side:(",Reviewed in the United Kingdom on 11 June 2020
1.0 out of 5 stars,Joy-con drift.,Verified Purchase,"Avoid the Nintendo switch like the plague, even the updated version has the same joy-con drift and Nintendo refuse to take responsibility and fix the issue. Game catalogue is really poor and the games don't look anywhere near as good as they should for the generation, also the screen is 720p... returning for joy-con drift issues.",Reviewed in the United Kingdom on 11 October 2020
5.0 out of 5 stars,Fun console,Verified Purchase,"Very good, somehow seems more fun when you play with this console in comparison to other consoles out at the moment. Doesn't hold any punches when it comes to the fun factor. They sacrifice a lot to keep it fun and I appreciate that. It pays off.",Reviewed in the United Kingdom on 4 March 2020
5.0 out of 5 stars,Getting great use out of it.,Verified Purchase,"It works perfectly. I've connected it to my nintendo account and was able to download my online purchases. It reads my game cards with no issue. I especially like how I can transition between playing it on a large monitor, and having it wherever I'd like to play it. A good feature is how I can use each coloured detachable control side as a separate controller each. One device, no extra controller purchase, and I get to play Mariokart 8 1v1 with someone.",Reviewed in the United Kingdom on 20 September 2020
3.0 out of 5 stars,Not all that,Verified Purchase,"Could never justify the price, it’s way to expensive for what it is.  Keeps kids occupied for a bit but the controllers drive me nuts. PlayStation is more robust and logical in terms of setting up and playing the games. This is so frustrating to operate. I was surprised.",Reviewed in the United Kingdom on 7 January 2021
1.0 out of 5 stars,Not happy,Verified Purchase,very expensive for very basic games and functionalities. found my kid more interested in the iPad ultimately. no room for changing your mind if you buy from their games store,Reviewed in the United Kingdom on 7 January 2021
5.0 out of 5 stars,Good console but expensive,Verified Purchase,Good consoles but expensive like any other,Reviewed in the United Kingdom on 14 March 2021
5.0 out of 5 stars,"Very, Very Good Purchase",Verified Purchase,"Kids love it. Expensive but well worth the money. Buying the cheaper game cards can help rather than the more convenient, and expensive, digital downloads.",Reviewed in the United Kingdom on 13 February 2021
3.0 out of 5 stars,Good product but not really good for single player,Verified Purchase,I decided to buy a Nintendo Switch for my birthday. I expected for the Nintendo switch to be good in my living room. when you are playing the console by your self though it gets boring quickly compared to an Xbox One or ps4 where the single-player options are wide.,Reviewed in the United Kingdom on 1 December 2020
5.0 out of 5 stars,Crackin' console,Verified Purchase,Great product giving hours of fun. Had switch lite before but definitely recommend spending extra to get this one as it's much more versatile. Highly recommend!,Reviewed in the United Kingdom on 8 November 2020
5.0 out of 5 stars,Good,Verified Purchase,Bought for my husband for his birthday along with Animal Crossing. I'm not a gamer but tried these and very easy to use and good quality. Hubby's happy with them.,Reviewed in the United Kingdom on 5 November 2020
5.0 out of 5 stars,Brilliant customer service.,Verified Purchase,Product arrived as described and early which was great but unfortunately had to return for personal reasons. Seller was very helpful and issued immediate refund on return of goods. Would definitely use this seller again.,Reviewed in the United Kingdom on 27 August 2020
5.0 out of 5 stars,good quality product,Verified Purchase,"Its was a good product for the money. Quick delivery and perfect condition.The Nintendo Switch was impeccable.My daughter plays with it near everyday and she is very happy with the product,",Reviewed in the United Kingdom on 28 February 2021
1.0 out of 5 stars,DO NOT RECCOMEND!,Verified Purchase,"DON'T BUY! I googled the serial code of the Switch I purchased from here and it came up with loads of articles about it being a fake! Makes sense as it was very glitchy, didn't play the games well, the controllers didn't charge past about 50%, the docking station didn't charge the Switch or connect it to the TV. Was £100 more expensive here than the site I purchased my new one from. 100% DO NOT RECOMMEND!",Reviewed in the United Kingdom on 4 April 2021
5.0 out of 5 stars,Great Great Great,Verified Purchase,I love the new Nintendo.  This is an amazing machine and its great that it supports tv and handheld gaming.  A great console and my kids have loved playing with it too who are 6 and 4yrs old.,Reviewed in the United Kingdom on 4 June 2020
5.0 out of 5 stars,i bought this back in quarentine,Verified Purchase,I bought this obviously for animal crossing that i played for a few months but on and off now. switch needs more games that you can sit for hours to play.,Reviewed in the United Kingdom on 21 January 2021
5.0 out of 5 stars,Great Video System,Verified Purchase,Fair price and a quick delivery.  I am a big fan of Switch for the portability and multi-person play for child-friendly games.,Reviewed in the United Kingdom on 5 November 2019
5.0 out of 5 stars,Brilliant Games Console,Verified Purchase,"Laverstoke gadget games console its like wee,mii and switch combined. Brilliant idea from nintendo. It should come on HD and its perfect",Reviewed in the United Kingdom on 21 December 2020
5.0 out of 5 stars,Happy with my purchase,Verified Purchase,"Got this console as a lil gift for myself and I love it.  Good range of games. I can play with the family on the TV or by myself as a handheld console, or by using the kick stand.  I like the versatility this console offers.",Reviewed in the United Kingdom on 8 December 2019
5.0 out of 5 stars,Nintendo Switch package,Verified Purchase,Perfect xmas pressy to my two grand daughtersLatest model with uprated battery timeEasy to use and updateKeeps whole family happy for hours,Reviewed in the United Kingdom on 9 February 2021
5.0 out of 5 stars,Fab,Verified Purchase,I was lucky enough to get it from here for £279.99 where other third part sellers are asking for £350 or more. Really happy with purchase works well and my sister loves it,Reviewed in the United Kingdom on 27 January 2021
5.0 out of 5 stars,Love it!,Verified Purchase,"I was worried that I wasn't going to use it as much but I have been wrong. The console is super versatile, the games library is decent and I have no complaints about it whatsoever",Reviewed in the United Kingdom on 29 May 2020
5.0 out of 5 stars,Good if you can afford it.,Verified Purchase,Works perfectly. Personally I'd say it's drastically overpriced but it works and keeps my little boy entertained so....,Reviewed in the United Kingdom on 29 March 2021
5.0 out of 5 stars,Amazing little games console.,Verified Purchase,"Top quality Gaming console, got it for the girlfriend and she loves it, can bring it with her travelling and play on a massive projector at home.Great little console, packs a punch!Newest version with the improved battery life will have the model number with an extra (01) in brackets I think. Also the picture on the box will not have a person's hand on it.",Reviewed in the United Kingdom on 4 October 2019
5.0 out of 5 stars,Love it,Verified Purchase,"Love it!Came quick and great tracking showing exactly where the item is on a map.The switch is great, got it for my boyfriend and he loves it. He was basically looking for a better newer psp",Reviewed in the United Kingdom on 30 December 2019
4.0 out of 5 stars,A great successor to the wii,Verified Purchase,Easy to configure and use.Handsets keep charge well but tricky to change attachments.Game variety good.,Reviewed in the United Kingdom on 8 March 2021
5.0 out of 5 stars,Nintendo's Portable Console that Lasts,Verified Purchase,Love the Nintendo's Switch portability and how long the battery lasts on this newer model.,Reviewed in the United Kingdom on 21 December 2019
5.0 out of 5 stars,"Great console, hours of entertainment",Verified Purchase,"Great console, daughter loves it. Replaced a Wii U console and it is very powerful yet compact. Purchased from Amazon for reliable service and piece of mind.",Reviewed in the United Kingdom on 16 January 2021
5.0 out of 5 stars,A great and versatile present the whole family can enjoy.,Verified Purchase,"Our Grandson was absolutely thrilled with his birthday present, he has wanted one for a long time and now everyone can buy additional games for Christmas! Delivery was prompt and well packaged.",Reviewed in the United Kingdom on 17 October 2020
5.0 out of 5 stars,Really good buy,Verified Purchase,Brilliant! Brought for my children as a Christmas gift. We have a lot of fun and spend more time together.,Reviewed in the United Kingdom on 7 February 2021
5.0 out of 5 stars,Fun!!!,Verified Purchase,Great handheld console from Nintendo. Built well and plenty of gaming options for everyone. Would certainly recommend,Reviewed in the United Kingdom on 24 November 2020
5.0 out of 5 stars,Great fun,Verified Purchase,"Really fun for playing with, portable and can put it on any telly because of how it looks, exactly his words.",Reviewed in the United Kingdom on 28 December 2020
5.0 out of 5 stars,It's great fun.,Verified Purchase,"I'm really pleased with how quick this came.I ordered it on Friday it said delivery for Monday but it arrived on the Saturday day after placing the order.Iv used it in every way possible and it's just fab, I love how playing sports through the tv using the joy cons is so much fun for all the family.",Reviewed in the United Kingdom on 15 February 2021
5.0 out of 5 stars,great product,Verified Purchase,"fantastic because you can put on tv,and also in the car, no internet required so its fantastic",Reviewed in the United Kingdom on 11 April 2021
5.0 out of 5 stars,Highly recommend,Verified Purchase,"Good value, arrived promptly, daughter loved it! Just what she wanted for her birthday, highly recommend.",Reviewed in the United Kingdom on 10 November 2020
5.0 out of 5 stars,Great fun,Verified Purchase,I bought this for my daughters birthday and we all loved it. Some fantastic games. Bit of nostalgia.,Reviewed in the United Kingdom on 14 April 2021
4.0 out of 5 stars,Happy with it,Verified Purchase,Packaged well and works well. Found some scratches on the blue part which was odd considering its new but nothing too deep or damaging. Could have happened during transport. At times though the sound makes static noise particularly on lower volumes. Only major downside I've noticed so far,Reviewed in the United Kingdom on 29 November 2020
5.0 out of 5 stars,As Described Super Fast Delivery,Verified Purchase,"I bought this for our Grandchildren and it came so quickly The next day! amazing service, they are really pleased with it and have been using it to help alleviate the lockdown, Certainly recommend buy with confidence !!!!!.",Reviewed in the United Kingdom on 10 February 2021
5.0 out of 5 stars,Not seen my daughter since we brought it,Verified Purchase,Want to ‘lose’ a child get one of these.,Reviewed in the United Kingdom on 7 June 2020
2.0 out of 5 stars,Great console but known problem with controllers,Verified Purchase,"The blue controller keeps losing connection. This is a known problem, all over the internet. Even when Nintendo replace the controller it is still faulty. Very poor quality for the price, and makes many games unplayable. Avoid buying this console.",Reviewed in the United Kingdom on 3 October 2020
4.0 out of 5 stars,Great product. Ensure you get the screen protectors a d controller protectors and case.,Verified Purchase,Great product. Kids Love it. Ensure you get the protection for the screens and controllers. Easily broken if not protected. Also the 2yr insurance for repair is worth it. Trust me!!!!!,Reviewed in the United Kingdom on 21 January 2020
5.0 out of 5 stars,Happy teen=Happy parents.,Verified Purchase,"One happy girl this Christmas time, arrived quickly and just what she wanted.A great versatile console and will bring many hours of enjoyment I’m sure.",Reviewed in the United Kingdom on 3 January 2020
5.0 out of 5 stars,"Winner, winner chicken dinner",Verified Purchase,"It was a christmas present from Santa for our daughter, so needless to say my daughter loves it.",Reviewed in the United Kingdom on 7 January 2021
4.0 out of 5 stars,Amazing,Verified Purchase,"Happiness, this console is just pure joy.But nintendo online is a bad service",Reviewed in the United Kingdom on 12 December 2020
5.0 out of 5 stars,Gaming system,Verified Purchase,"Fantastic my partner really like this, with being a massive gamer he would highly recommend this to any one who like playing games that are only with  Nintendo he has enjoyed going back to games he use to play as a child.",Reviewed in the United Kingdom on 30 January 2020
4.0 out of 5 stars,"Decent, but with room for improvement",Verified Purchase,"Its overall a great console, but the general build quality isnt as high as I would have hoped for the price. The controllers feel quite cheap and the stand at the back is very flimsy.",Reviewed in the United Kingdom on 17 January 2020
5.0 out of 5 stars,Great,Verified Purchase,Not much to say. Arrived on time and my kids have had hours of fun on it.,Reviewed in the United Kingdom on 20 November 2020
5.0 out of 5 stars,Good console,Verified Purchase,Great console. Light. Although battery only lasts 2-3hours,Reviewed in the United Kingdom on 8 November 2019
5.0 out of 5 stars,My boy is happy,Verified Purchase,My 7 year old was very pleased to have received this for Christmas. Works as it should,Reviewed in the United Kingdom on 5 January 2021
5.0 out of 5 stars,nice!!!,Verified Purchase,I had lots of fun using it to do exercises!Super Super ！,Reviewed in the United Kingdom on 19 April 2021
5.0 out of 5 stars,Great gift for kids,Verified Purchase,"A present for my daughter. She absolutely loves it, especially animal crossing. Arrived on time with all needed accessories included.",Reviewed in the United Kingdom on 11 March 2021
5.0 out of 5 stars,Great buy,Verified Purchase,Bought as an Christmas present for an 7 year old and they absolutely love it. I secretly love to play it also 😁,Reviewed in the United Kingdom on 4 January 2020
5.0 out of 5 stars,Good gaming console,Verified Purchase,Great item. Very fast delivery. The nintendo switch was very well packaged. My son got this for his birthday he's really happy with it. Easy to set up .,Reviewed in the United Kingdom on 25 March 2021
5.0 out of 5 stars,It is so useable.,Verified Purchase,It was for my Grandson’s Christmas present and he absolutely loves it.,Reviewed in the United Kingdom on 29 December 2020
5.0 out of 5 stars,Quality system for the family,Verified Purchase,A great system for the whole family but not happy that Amazon increased the price from the RRP of 279.99 to 299.99.,Reviewed in the United Kingdom on 13 June 2020
5.0 out of 5 stars,Fantastic!,Verified Purchase,"Fantastic console. Really happy to have bought it, kept me busy during lockdown and provided much happiness.",Reviewed in the United Kingdom on 9 January 2021
3.0 out of 5 stars,Switch,Verified Purchase,Such a lot of money to then only realise u have to pay to start the Nintendo!!!! £17.99 on topAnd games expensive!!!,Reviewed in the United Kingdom on 12 November 2020
1.0 out of 5 stars,Stopped working,Verified Purchase,"Literally lasted only a year and 2 weeks, son is gutted.",Reviewed in the United Kingdom on 26 February 2021
4.0 out of 5 stars,Best gaming console for young children especially,Verified Purchase,"Best innovative device Nintendo has made so far. I love the 2 options the user has to play. TV occupied?, No problem... Play handheld mode!shocked the price on these have barely budged though",Reviewed in the United Kingdom on 3 November 2020
1.0 out of 5 stars,"Stopped working, sent for a refund in February... still waiting in April!",Verified Purchase,I am still waiting for my refund from February! Absolutely awful! My child is distraught. Christmas present has gone wrong! The switch just stopped turning ON. Would not recommend at all.,Reviewed in the United Kingdom on 4 April 2021
5.0 out of 5 stars,Good. But expensive,Verified Purchase,Son loves it. But l think the whole thing expensive.,Reviewed in the United Kingdom on 14 May 2021
